 Seller ID,Coupon Code, Coupon Name, Coupon Create Date, Coupon Deleted Date, Coupon Start Date, Coupon End Date,Coupon Description,Algorithm Amount,Algorithm Type,Limit,Coupon Code Status
5454156b85523e69558b456d,$100$one$hundred$100$,$100 Off,2021-01-10,2024-05-07,,,$100 Off,100,absolute,,Active
5454156b85523e69558b456d,$wholesale$,Wholesale,2024-07-16,,,,$100 Off,100,absolute,,Active
5454156b85523e69558b456d,15holiday20,End of Year 2020,2020-11-27,2024-05-07,,,15% Off,15,percent,,Active
5454156b85523e69558b456d,2021isgonnabeawesome,2020 Holiday,2020-12-03,2024-05-07,,,20% Off,20,percent,,Active
5454156b85523e69558b456d,3rdcoast,3rdCoast,2019-02-25,,2019-05-24,2019-07-27,$15 Off,15,absolute,,Active
5454156b85523e69558b456d,advancedaddon,Nitrox/Adv Add-on,2019-04-15,,,,$25 Off,25,absolute,,Active
5454156b85523e69558b456d,barefoot20,Barefoot20,2023-08-22,,,,20% Off,20,percent,,Active
5454156b85523e69558b456d,bookthatcondo,Book That Condo,2021-07-30,,2021-07-29,,$20 Off,20,absolute,,Active
5454156b85523e69558b456d,carolineaow,CarolineAOW,2022-02-26,2022-02-26,2022-03-06,2022-03-07,$412 Off,412,absolute,1.0,Active
5454156b85523e69558b456d,chatscuba,Chattahoochee Scuba,2017-05-17,2024-05-07,,,$15 Off,15,absolute,,Active
5454156b85523e69558b456d,chris69snider,Chris Snider,2023-02-03,2024-05-07,,,$250 Off,250,absolute,1.0,Redeemed
5454156b85523e69558b456d,coconut10!cove,CoconutCove Charter,2024-06-04,,,,$0 Off,0,absolute,100.0,Active
5454156b85523e69558b456d,coconut20!cove,Coconut Cove,2024-06-04,,,,$0 Off,0,absolute,100.0,Active
5454156b85523e69558b456d,coolchris,$60 Off,2019-04-22,2024-05-07,,,$60 Off,60,absolute,,Active
5454156b85523e69558b456d,coupon75$,$75 Off,2023-09-13,2024-05-07,,,$75 Off,75,absolute,,Active
5454156b85523e69558b456d,coupon75$,$75 Off,2023-09-13,2023-09-13,2023-09-13,,$75 Off,75,absolute,1.0,Active
5454156b85523e69558b456d,dallasbday,boydsdayout,2022-07-07,2024-05-07,,,33% Off,33,percent,,Active
5454156b85523e69558b456d,daneelles,DE,2022-02-22,2022-02-22,,,$79 Off,79,absolute,1.0,Active
5454156b85523e69558b456d,delles,Elles,2022-02-22,2024-05-07,,,$79 Off,79,absolute,,Active
5454156b85523e69558b456d,diversden,Diver's Den Students,2022-08-29,,2022-08-28,,$30 Off,30,absolute,,Active
5454156b85523e69558b456d,dsdvisitpcb2024,VisitPCB2024,2024-02-04,,,,$0 Off,0,absolute,100.0,Active
5454156b85523e69558b456d,elearning,elearning,2024-03-09,,,,$0 Off,0,absolute,100.0,Active
5454156b85523e69558b456d,elearnt,SDI eLearning completed,2022-06-27,,,,$50 Off,50,absolute,,Active
5454156b85523e69558b456d,fbtwenty,FB post,2021-03-12,2022-05-16,2021-03-11,2021-03-14,$20 Off,20,absolute,,Active
5454156b85523e69558b456d,gilmore,Gilmore,2021-07-26,,2021-07-25,,$25 Off,25,absolute,,Active
5454156b85523e69558b456d,happykathleenday!,$50 off,2019-09-23,2024-05-07,,,$50 Off,50,absolute,,Active
5454156b85523e69558b456d,hewenttoparis,Latitudes,2021-05-13,,2021-05-12,,15% Off,15,percent,,Void
5454156b85523e69558b456d,hewenttoparrot,Latitudes,2021-05-13,,2021-05-12,,15% Off,15,percent,,Void
5454156b85523e69558b456d,iamforrest,SSDS,2022-12-05,,,,$15 Off,15,absolute,,Active
5454156b85523e69558b456d,ireadtheemailfeb23,Feb23,2023-02-15,2024-05-07,,,10% Off,10,percent,,Active
5454156b85523e69558b456d,junenews23,10% off,2018-07-24,,,,10% Off,10,percent,,Active
5454156b85523e69558b456d,landmark2021,Landmark Resort,2021-03-31,,,,$20 Off,20,absolute,,Active
5454156b85523e69558b456d,landmarkguest21,Landmark Resort,2021-03-31,,,,$20 Off,20,absolute,,Active
5454156b85523e69558b456d,malphurs,malphurs,2022-06-22,2024-05-07,2022-06-21,,100% Off,100,percent,,Active
5454156b85523e69558b456d,mkneale,10% off,2018-07-24,,,,10% Off,10,percent,,Active
5454156b85523e69558b456d,normoxic,Employee use,2018-08-18,,,,100% Off,100,percent,,Active
5454156b85523e69558b456d,off%50%off,50% Off,2017-06-11,,,,50% Off,50,percent,,Active
5454156b85523e69558b456d,palmetto,Palmetto,2021-03-11,,2021-03-10,,$20 Off,20,absolute,,Active
5454156b85523e69558b456d,pcd10%,10% off,2018-07-24,,,,10% Off,10,percent,,Active
5454156b85523e69558b456d,pcdclub,Dive Club,2016-06-03,,2016-06-11,,$34 Off,34,absolute,,Void
5454156b85523e69558b456d,pcdiveclub,Dive Club,2016-06-03,,2016-06-11,,$34 Off,34,absolute,,Active
5454156b85523e69558b456d,reefgoestopcb2023,reef2023,2022-11-11,2024-05-07,2023-03-31,2023-06-30,$200 Off,200,absolute,,Active
5454156b85523e69558b456d,scubadoo,Instructor,2017-05-30,2024-05-07,,,33% Off,33,percent,,Active
5454156b85523e69558b456d,scubafamily4life,50% Off,2017-06-11,,,,50% Off,50,percent,,Active
5454156b85523e69558b456d,scubanauts,scubanauts,2024-07-16,,,,$0 Off,0,absolute,,Active
5454156b85523e69558b456d,srangbrek23,March 2023 News,2023-03-04,2024-05-07,,,10% Off,10,percent,,Active
5454156b85523e69558b456d,stayhighbayhigh,$50 off,2019-09-23,2024-05-07,,,$50 Off,50,absolute,,Active
5454156b85523e69558b456d,tanburn,TanBurn,2021-09-13,,,,50% Off,50,percent,3.0,Active
5454156b85523e69558b456d,thankyou2022,Service Industry Appreciation,2022-09-16,2024-05-07,2022-09-15,,$165 Off,165,absolute,100.0,Active
5454156b85523e69558b456d,thedive,Dive Shop Albany,2018-08-18,2024-05-07,,,$15 Off,15,absolute,,Active
5454156b85523e69558b456d,thirty$off,thirthy$off,2022-03-15,2024-05-07,2022-03-14,,$30 Off,30,absolute,,Active
5454156b85523e69558b456d,thirty$off,$30 Off,2018-09-24,2022-03-15,2022-03-14,,$30 Off,30,absolute,,Active
5454156b85523e69558b456d,tyservice-baylee,Service Industry Appreciation,2022-09-16,2024-05-07,2022-09-15,,$165 Off,165,absolute,100.0,Active
5454156b85523e69558b456d,tyservice-ben,Service Industry Appreciation,2022-09-16,2024-05-07,2022-09-15,,$165 Off,165,absolute,100.0,Active
5454156b85523e69558b456d,tyservice-chris,Service Industry Appreciation,2022-09-16,2024-05-07,2022-09-15,,$165 Off,165,absolute,100.0,Active
5454156b85523e69558b456d,tyservice-john,Service Industry Appreciation,2022-09-16,2024-05-07,2022-09-15,,$165 Off,165,absolute,100.0,Active
5454156b85523e69558b456d,tyservice-josh,Service Industry Appreciation,2022-09-16,2024-05-07,2022-09-15,,$165 Off,165,absolute,100.0,Active
5454156b85523e69558b456d,tyservice-pg,Service Industry Appreciation,2022-09-16,2024-05-07,2022-09-15,,$165 Off,165,absolute,100.0,Active
5454156b85523e69558b456d,tyservice-sara,Service Industry Appreciation,2022-09-16,2024-05-07,2022-09-15,,$165 Off,165,absolute,100.0,Active
5454156b85523e69558b456d,unlock,Unlock,2014-11-18,2014-11-18,,,,,,,Active
5454156b85523e69558b456d,valentinesday$,Valentine,2018-02-15,2021-03-11,,,12% Off,12,percent,,Active
5454156b85523e69558b456d,vfw2024,VFW,2023-06-28,,,,$25 Off,25,absolute,,Active
5454156b85523e69558b456d,werunthistown2223,Service Industry,2022-11-07,2024-05-07,,,$165 Off,165,absolute,,Active
5454156b85523e69558b456d,winter2021,Christmas 2021,2021-11-29,2024-05-07,,,20% Off,20,percent,,Active
5454156b85523e69558b456d,winter2021tec,WINTER2021tec,2021-12-20,2024-05-07,2021-12-19,2021-12-31,20% Off,20,percent,,Active
